contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_owner,inp_tickLower,inp_tickUpper,inp_amount,inp_amount0,inp_amount1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632838,0xb7a835fca904ba3fe19e178f2abb70850b0ac1e1259fe136b2ee351a4825978d,83,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194710,200310,300761877686090,1686302393,893107602083268192
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632895,0x10e047506b298d80dd3a8530651e0c748296359401c96e61ea20deebe77baf56,185,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194710,200310,2572408283468399,15000000000,7411920595453387091
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632930,0xb5b8c800acd97a1ca5739dca26952bf3ab8936abfbd7d13a9de358235ea0b4fc,31,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197840,197850,11417634820344156687,288794985505,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632940,0x8100da20dac01943ae646cff4df7679b122e6c2ced9139c89dbfe5d80a78d893,334,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197360,198290,5517580329880289,6200856392,2589827841110778527
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632945,0x1588ad739e38d2d6782bc4f4cf68c824a8da6340b682c67467898d01cb123fc3,221,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196950,197690,196511567576318871,0,139999999999999999759
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632952,0x8d43be70273dd5bfdf45c498585c16f8a77e57ea4db40a3ae28bb6ce61d2cf83,361,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197460,198420,43375499805410155,62032428382,16406452752738347964
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632958,0x2666dcf95baa229c45a61f2fff303251960a66ddc317712022b608ad675ab475,193,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197490,198180,28136551234038659,23965530271,9658285858440648128
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633053,0xad2dc40a126db35b48fd031eb3b5934a018871b9f6f24bcca6196122568a5a19,153,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197780,197880,7153830575816430,989539152,319542506374354807
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633124,0x0314bf9950e04b93584b976b06889e9fd936c6b834245fdee04898a17f9fe60c,113,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197680,197780,8969060569013025,50747802,861621890505800388
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633137,0xc785b6ef36bef41c81c2b9d612fdbbb1e857d21872d91bd4e4b76b94f65f79ca,114,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,184220,219280,462847905020595,15453775551,4497613838654445184
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633191,0x0fcbb15aef679002b1e6b8f69ff85a2f7470917d06303aed575a997c1291306f,308,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197660,197960,34294338531738714,13328864853,4922371737162891539
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633239,0x8adee0357dc2acb452e4a4571414fc0c1bf21158836d23b74f6c510bb42019fb,216,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196950,198080,273381974037605,176426481,230673512025858799
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633251,0xcc601a53a23b2b17439dbf9117a883726ee6dbc95231e549f8be91638985f79f,286,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194860,199260,561128780905440,1936307225,1538770868302226087
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633303,0x03606dbd9e7e3f47012a9c21ef8a4006346b23714dd203ea15a10bbe3479a6d1,259,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197230,198860,2539567995032917,6196778011,1582812702345209520
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633304,0xbc081b39ed2cddce580407317e80adf1e1051dcbe38878c51c6d0690978121fe,93,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197690,198690,7982901729324,16331308,1364920636842898
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633308,0x31d5de8be9f8f320f4712e4df20072008bdb7dc93f39c9554b9777dbce7740ba,171,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197380,198390,6953284119153,8978130,3345422263476086
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633318,0xf8d8497dd9417f51daf050e4ae941423b43d1fdf491e698a62e625b013e074d8,196,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197550,198360,6324050147605956,8008911165,1878613442234038029
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633384,0xeed64d788d09823bd781fc279720aacd61f29d8beea066c2d3150472108e44f5,249,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,195000,203880,1700230723568347,22291622507,4499999999943837245
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633397,0x065e2b2d0a9f5d2a2d08392ed1b12cc3ed79fd25feeb985ac1d765de3266d486,149,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197660,201910,7245673511399797,67196763353,1404599999248845796
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633451,0x22c3b0c6e14d3a4bc28f390d12293ae2fc1c7e0d1897e9fa96ac3d80c866376e,250,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197090,198080,152607837602646451,86757134852,113084886549037291868
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633486,0xbc7b65c4c2ec308926d27888e0992b157bb7f84282d11f0b94d9530ef9dad896,277,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196460,199220,3005041346007528,10168977869,3947135632977970705
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633583,0xfc19da5a3699b25933ee4f5e4420bd3218f00301697371ad990d1bb56919361f,156,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,195930,200310,20417018411693027,124114669039,35156657096633189612
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633612,0xe858f4a508906491a08fb7815c312d99636380ce10c30273043b16f26f19013f,384,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197560,197680,11085720828536732519,0,1299999999999999999920
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633623,0x99e819498e2bed6e351ee2e410838272829f44a16c1f022ec763648d77fef804,95,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,195930,200310,11397854460548509,71214624191,18882039455304883115
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633740,0x3b702ffac4748d64c546587440e7cedb3e39dac909216469f7d72c78cbcb3c43,30,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197810,197820,15010477268491404970,380241408401,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633764,0xa97f2f73d38b9977663dad82dbb3d907a2e1b607b51d2bb26fd3ee5efc06f33d,261,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196950,198910,40609352242389877,113000000000,32608378831188757313
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633802,0x10f48005adbe8e2fd6964af3a0b1a3e6e36c6bae43970ec19929a57dd635a059,286,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197660,198080,934922481557861918,647324122478,133158813639728402823
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633858,0x6bf50edbd93ae80ab0639452a0510f7d505707ec6cb3ed5f3942046c58689863,169,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194830,199660,420467001896554,1900002444,1141680631307797000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12633971,0x1a9cf1fbb1ba7602e36807d19a9e016e1a14de42bddf9b1ab02a99a3c31e86ee,96,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,195900,200760,62724558609436348,440000000000,111136045846241706931
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12634026,0x033c549fd2ea45a49625444e86b6e7daa88967ef133617e331c6ba8cf1acf9f9,188,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196830,199070,17445052565099000,54429229084,16283825469005370303
