contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_recipient,inp_amount0,inp_amount1,inp_paid0,inp_paid1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13538521,0x043ca7e7a9271f20f8b09970464f244a89986dbb0bd1dbc851c39e06633994e8,341,0xc08C83685364bD1bb716098c23ba82940f018fE8,0xc08C83685364bD1bb716098c23ba82940f018fE8,51807959999,0,25903980,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13538879,0xbacfdea8f483748cb6f44f60f08bb9a3e54d575a747d1aa8dd08403fc0eb99d4,476,0x94F956cFc61d7CD4437C1601DCb422fB977d9bF9,0x94F956cFc61d7CD4437C1601DCb422fB977d9bF9,809776000000,0,404888000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13541681,0xb01503e31ebbdfa5a19c4a938df56187b1966b108fa3562d4ee32955b9f8ca93,283,0x6cE63AdaE391eeD147BfE9629dF829C1e784D11d,0x6cE63AdaE391eeD147BfE9629dF829C1e784D11d,0,361000000000000000000,0,180500000000000000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13541730,0x54350a4e06ba8578e47fa07d93204762d24d398495db5d9d1cdfaad6ca75a6b0,365,0xf9524787aa14B3e698c459a3B0a58ebc13Ec29C5,0xf9524787aa14B3e698c459a3B0a58ebc13Ec29C5,150000000000,0,75000000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13541731,0x05bcf2e81d6e94c75c6cad2a67136e8881886bb59a5038d3dacbb03d7bebdc33,607,0x3fc6b2C122eA2A2539157a7ee0E7a79Ac3Ac61A2,0x3fc6b2C122eA2A2539157a7ee0E7a79Ac3Ac61A2,1760661629999,0,880330815,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13541751,0xb34f7d4356c39e980094259b3bd7ae194a79e9efaaa1a85167dbee1c6b20d5b4,159,0xbC5aF2593E15cd407C226bE0f39bc238D227D6db,0xbC5aF2593E15cd407C226bE0f39bc238D227D6db,1056493909999,0,528246955,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13543192,0x3e342bfd7444714bf4a2a489f0ae47b4afc72f5dde604d9c6fde0ad35a118f71,294,0xCe615fcE45CcB33bD1ac84Cd09B812BE984B6326,0xCe615fcE45CcB33bD1ac84Cd09B812BE984B6326,0,60350000000000000000,0,30175000000000000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13543263,0x6e5f69b3aa3c0575bd5bf1fca3e09363144fb3f640859209517a525910db023b,136,0x368183ADfb22E082A4420C6b04A5f6cC7087BE55,0x368183ADfb22E082A4420C6b04A5f6cC7087BE55,8371792534,0,4185897,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13543323,0x09d099921e17f41faeff95059c2e938ae955ef7e83576ef93436df802a7f1d71,294,0x4356115ddcCE743671E1458674fCFF401c1C1459,0x4356115ddcCE743671E1458674fCFF401c1C1459,153373439999,0,76686720,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13546870,0x9a24894d2f1611dd509c2de19d2f54c3611c5bfe72a8285776230d00d41d08ce,215,0x628AA07E8a99Cb9f1AF280365fE74AC482d0c1bC,0x628AA07E8a99Cb9f1AF280365fE74AC482d0c1bC,0,10200000000000000000,0,5100000000000000
