contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_recipient,inp_amount0,inp_amount1,inp_sqrtpricex96,inp_liquidity,inp_tick
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382579,0x1bd25eaa6fe120f17a006be3c0697114d7ef9ab71fdc5ef57c54f23a79103681,275,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x26c1e466CE41070585d6876dC17B7bD9295C41d5,-1413299717,410299181612954000,1.3499121309909052e+33,51592216351822280,194874
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382585,0x84835e7c9e89eedbdb92adcad2be081aae31deeb3870b0d9d3eb3dde7596afb9,306,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x35f58Efcc646Cce87b81557Fa3223881ab1969bD,-3095489079,900000000000000000,1.3512935349822302e+33,51592216351822280,194894
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382592,0xff83f238143088de80263c8dc494518e33327f5a13dde4f198e1552b4e61a52b,332,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,699995593,-203478204420184000,1.350981061407961e+33,51592216351822280,194889
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382608,0xfb98b0f826671e22fd651ee9616e8aefe61ef4cc21fdfa8deef3498811a6872d,279,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xD01d7d004Dc1c37F01115F9d8C9b1e668CFCaC9e,-200000000,58185565610679810,1.3510703700441524e+33,51592216351822280,194891
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382611,0x5bbcacc0e48b7dac494f82a1e23e504e47ad8c94d9cd0aacfb5624eb32763098,195,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,250000000,-72658045528121900,1.3509587919060895e+33,51592216351822280,194889
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382613,0xc18c244999ac4fd5af045eaaae6341d23c0a14d50b1504676333aed2d4eb7c60,43,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,55000000,-15983159520846572,1.350934247188891e+33,51592216351822280,194889
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382613,0x2d29ba2f31741bbabe54076e3dd0329cf033ad797890e9a6d7937907e7e0fcab,318,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x7858E59e0C01EA06Df3aF3D20aC7B0003275D4Bf,-1001436756,291402818795676600,1.351381519429966e+33,51592216351822280,194895
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382615,0x6414f3061b1b987f0082931ea155ced32393ae0a798f73692c4d4f34cbf58429,214,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x07C3E21F7D1eB71c5C3e6704F80362971f8118d2,-3235705748,942860669862477200,1.352827836705043e+33,51592216351822280,194917
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382617,0x9a934b003f17ef944f635feba80c21e62943f190ffa5965de2f05778e9c28c73,235,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1000000000,-291316479836124350,1.3523804733033596e+33,51592216351822280,194910
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382618,0x41f0da1ccc05794952537fa77f2ec0cc6e631f47b107d6897b51ac41a17dcfc5,18,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-343000612,100000000000000000,1.352533962635729e+33,51592216351822280,194912
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382619,0x1d1bce6496cafd6729655f9e2f7dd480af105f6256bbac0ae2f102bc91abd0f3,90,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x9Cb376817B7916F6A50c47831610D729842B8938,-907447985,264671121058087700,1.3529402045724157e+33,51592216351822280,194918
