,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
52,Deposit,318,65,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27067828,0x29d0DDE28D5bbfCEB208882A2D8F291D93Dc1839,0x29d0DDE28D5bbfCEB208882A2D8F291D93Dc1839,800000000000000000000,0,800000000000000000000
53,Deposit,293,86,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27079041,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,61831225000000000000000,0,61831225000000000000000
54,Deposit,229,51,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27087017,0x5Ca50FbC63E7b6349045634A13f189f5ec52Bd49,0x5Ca50FbC63E7b6349045634A13f189f5ec52Bd49,37550000000000000000,0,37550000000000000000
55,Deposit,566,122,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27126145,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,100755000000000000000000,0,100755000000000000000000
56,Deposit,313,66,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27130211,0xfb654abF1c847cEa7063c8dF7d18D22b788302b3,0xfb654abF1c847cEa7063c8dF7d18D22b788302b3,661726032496857073575,0,661726032496857073575
57,Deposit,589,322,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27173139,0x38C2f7b7e62A806590830fFFF01E2f4676A669cd,0x38C2f7b7e62A806590830fFFF01E2f4676A669cd,958019389410413603843,0,958019389410413603843
58,Deposit,247,57,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27215865,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,200000000000000000000,0,200000000000000000000
59,Deposit,322,57,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27250693,0x29d0DDE28D5bbfCEB208882A2D8F291D93Dc1839,0x29d0DDE28D5bbfCEB208882A2D8F291D93Dc1839,1287000000000000000000,0,1287000000000000000000
60,Deposit,109,26,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,27308567,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,500000000000000000000,0,500000000000000000000
61,Deposit,249,54,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,28823131,0x12279b3B6A8C7631aE2De0085b60bc2329eA46a2,0x12279b3B6A8C7631aE2De0085b60bc2329eA46a2,35300000000000000000000,0,35300000000000000000000
62,Deposit,104,28,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,28877740,0xFc422F877Ace6E9ADA1Fcd316938caE9B8000A2C,0xFc422F877Ace6E9ADA1Fcd316938caE9B8000A2C,10810000000000000000000,0,10810000000000000000000
63,Deposit,182,39,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,28983598,0x03000A0ECB1898040c26CD418570cd480775f0dA,0x03000A0ECB1898040c26CD418570cd480775f0dA,25000000000000000000,0,25000000000000000000
64,Deposit,113,20,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,29231801,0x562e22f5Cfa7b7A8c51369A8083b2441C27eb747,0x562e22f5Cfa7b7A8c51369A8083b2441C27eb747,7868000000000000000000,0,7868000000000000000000
65,Deposit,234,46,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,29247684,0xfb654abF1c847cEa7063c8dF7d18D22b788302b3,0xfb654abF1c847cEa7063c8dF7d18D22b788302b3,661726032496857073575,0,661726032496857073575
66,Deposit,759,116,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,29248636,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,406287814654581337388,0,406287814654581337388
67,Deposit,297,67,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,29258156,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,9874879852961197303,0,9877505436881014151
